datetime,SPY
2024-12-20 17:30:00,591.15
2024-12-23 17:30:00,594.69
2024-12-24 17:30:00,601.3
2024-12-26 17:30:00,601.34
2024-12-27 17:30:00,595.01
2024-12-30 17:30:00,588.22
2024-12-31 17:30:00,586.08
2025-01-02 17:30:00,584.64
2025-01-03 17:30:00,591.95
2025-01-06 17:30:00,595.36
2025-01-07 17:30:00,588.63
2025-01-08 17:30:00,589.49
2025-01-10 17:30:00,580.49
2025-01-13 17:30:00,581.39
2025-01-14 17:30:00,582.19
2025-01-15 17:30:00,592.78
2025-01-16 17:30:00,591.64
2025-01-17 17:30:00,597.58
2025-01-21 17:30:00,603.05
2025-01-22 17:30:00,606.44
2025-01-23 17:30:00,609.75
2025-01-24 17:30:00,607.97
2025-01-27 17:30:00,599.37
2025-01-28 17:30:00,604.52
2025-01-29 17:30:00,601.81
2025-01-30 17:30:00,605.04
2025-01-31 17:30:00,601.82
2025-02-03 17:30:00,597.77
2025-02-04 17:30:00,601.78
2025-02-05 17:30:00,604.22
2025-02-06 17:30:00,606.32
2025-02-07 17:30:00,600.77
2025-02-10 17:30:00,604.85
2025-02-11 17:30:00,605.31
2025-02-12 17:30:00,603.36
2025-02-13 17:30:00,609.73
2025-02-14 17:30:00,609.7
2025-02-18 17:30:00,611.49
2025-02-19 17:30:00,612.93
2025-02-20 17:30:00,610.38
2025-02-21 17:30:00,599.94
2025-02-24 17:30:00,597.21
2025-02-25 17:30:00,594.24
2025-02-26 17:30:00,594.54
2025-02-27 17:30:00,585.05
2025-02-28 17:30:00,594.18
2025-03-03 17:30:00,583.77
2025-03-04 17:30:00,576.86
2025-03-05 17:30:00,583.06
2025-03-06 17:30:00,572.71
2025-03-07 17:30:00,575.92
2025-03-10 16:30:00,560.58
2025-03-11 16:30:00,555.92
2025-03-12 16:30:00,558.87
2025-03-13 16:30:00,551.42
2025-03-14 16:30:00,562.81
2025-03-17 16:30:00,567.15
2025-03-18 16:30:00,561.02
2025-03-19 16:30:00,567.13
2025-03-20 16:30:00,565.49
2025-03-21 16:30:00,563.98
2025-03-24 16:30:00,574.08
2025-03-25 16:30:00,575.46
2025-03-26 16:30:00,568.59
2025-03-27 16:30:00,567.08
2025-03-28 16:30:00,555.66
2025-03-31 16:30:00,559.39
2025-04-01 16:30:00,560.97
2025-04-02 16:30:00,564.52
2025-04-03 16:30:00,536.7
2025-04-04 16:30:00,505.28
2025-04-07 16:30:00,504.38
2025-04-08 16:30:00,496.48
